Date,Close,Start,High,Low,Volume
2018-07-02,10100,10850,10900,10000,137977
2018-06-29,10700,10550,10900,9990,170253
2018-06-28,10400,10900,10950,10150,155769
2018-06-27,10900,10800,11050,10500,133548
2018-06-26,10800,10900,11000,10700,63039
2018-06-25,11150,11400,11450,11000,55519
2018-06-22,11300,11250,11450,10750,134805
2018-06-21,11200,11350,11750,11200,133002
2018-06-20,11550,11200,11600,10900,308596
2018-06-19,11300,11850,11950,11300,180656
2018-06-18,12000,13400,13400,12000,309787
2018-06-15,13400,13600,13600,12900,201376
2018-06-14,13450,13200,13700,13150,347451
2018-06-12,13200,12200,13300,12050,558148
2018-06-11,11950,12000,12250,11950,62293
2018-06-08,11950,11950,12200,11800,59258
2018-06-07,11950,12200,12300,11900,49088
2018-06-05,12150,11800,12250,11800,42485
2018-06-04,11900,11900,12200,11700,25171
2018-06-01,11900,11800,12100,11750,32062
